"comp","post_bugs","size","complexity","prior_changes","change_churn","prior_bugs","total","minor","major","ownership","entropy","review_rate","review_churn_rate","voters","minor_voters","major_voters","voter_ownership","self_reviews","too_quick","little_discussion","median_revspeed","mean_revspeed","median_discussion","mean_discussion","minor_wrote_no_major_revd","minor_wrote_no_owner_revd","median_voterscore","mean_voterscore","actors","minor_actors","major_actors","actor_ownership","owner_more_author","median_maxexp","mean_maxexp","median_minexp","mean_minexp","subsystem"
"qtbase.doc/src/snippets/pointer",0,9,0.222222230864197,1,2,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,4,4,0,0,8,0,8,1,0,1,1,0.666666666666667,0.666666666666667,"qtbase"
"qtbase.doc/src/snippets/quiloader",0,30,0.133333336222222,1,4,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,4,4,0,0,8,0,8,1,0,1,1,0.666666666666667,0.666666666666667,"qtbase"
"qtbase.doc/src/snippets/qx11embedcontainer",0,18,0.111111116049383,1,2,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,4,4,0,0,8,0,8,1,0,1,1,0.666666666666667,0.666666666666667,"qtbase"
"qtbase.doc/src/snippets/qx11embedwidget",0,13,0.15384616035503,1,2,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,4,4,0,0,8,0,8,1,0,1,1,0.666666666666667,0.666666666666667,"qtbase"
"qtbase.examples/dbus/chat",0,121,0.132231405675842,1,4,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,1,1,0,0,8,0,8,1,0,1,1,0.833333333333333,0.833333333333333,"qtbase"
"qtbase.examples/dbus/complexpingpong",0,122,0.196721312133835,2,18,0,2,0,2,0.5,0.9833452693314,1,1,7,0,7,1,2,1,0,17.5165274403727,17.5165274403727,0.000149987194980893,0.000149987194980893,5,5,0,0,13,0,13,1,0,1,1,0.666666666666667,0.744047619047619,"qtbase"
"qtbase.examples/dbus/listnames",0,38,0.157894739058172,1,2,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,4,4,0,0,8,0,8,1,0,1,1,0.666666666666667,0.666666666666667,"qtbase"
"qtbase.examples/dbus/pingpong",0,53,0.169811322321111,2,12,0,2,0,2,0.5,0.982919039953816,1,1,7,0,7,1,1,1,0,17.5165274403727,17.5165274403727,0.000149987194980893,0.000149987194980893,5,5,0,0,13,0,13,1,0,1,1,0.666666666666667,0.744047619047619,"qtbase"
"qtbase.examples/dbus/remotecontrolledcar/car",0,115,0.113043479032136,1,6,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,7,7,0,0,14,0,14,1,0,1,1,0.666666666666667,0.773809523809524,"qtbase"
"qtbase.examples/dbus/remotecontrolledcar/controller",0,55,0.145454547008264,1,6,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,7,7,0,0,11,0,11,1,0,1,1,0.666666666666667,0.791666666666667,"qtbase"
"qtbase.examples/embedded/digiflip",0,295,0.132203390124677,1,2,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,6,6,0,0,11,0,11,1,0,1,1,0.666666666666667,0.70952380952381,"qtbase"
"qtbase.examples/embedded/flickable",0,376,0.186170212982402,1,6,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,6,6,0,0,11,0,11,1,0,1,1,0.666666666666667,0.70952380952381,"qtbase"
"qtbase.examples/embedded/flightinfo",0,270,0.159259259570645,1,2,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,7,7,0,0,14,0,14,1,0,1,1,0.666666666666667,0.745833333333333,"qtbase"
"qtbase.examples/embedded/lightmaps",0,491,0.142566191620659,1,14,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,8,8,0,0,16,0,16,1,0,1,1,0.8,0.809469696969697,"qtbase"
"qtbase.examples/embedded/raycasting",0,265,0.188679245589178,1,2,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,7,7,0,0,12,0,12,1,0,1,1,0.666666666666667,0.745833333333333,"qtbase"
"qtbase.examples/embedded/styleexample",0,70,0.157142858346939,1,6,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,5,5,0,0,13,0,13,1,0,1,1,0.666666666666667,0.779166666666667,"qtbase"
"qtbase.examples/gestures/imagegestures",0,257,0.171206226003422,1,10,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,4,4,0,0,8,0,8,1,0,1,1,0.666666666666667,0.666666666666667,"qtbase"
"qtbase.examples/gui/analogclock",0,71,0.11267605758778,1,2,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,4,4,0,0,10,0,10,1,0,1,1,0.9375,0.841666666666667,"qtbase"
"qtbase.examples/gui/openglwindow",0,200,0.1250000004375,2,23,0,2,0,2,0.5,1,1,1,6,0,6,1,1,0,0,67.4761955107038,67.4761955107038,0.0294610063840387,0.0294610063840387,2,2,0,0,9,0,9,1,0,1,1,0.833333333333333,0.833333333333333,"qtbase"
"qtbase.examples/gui/rasterwindow",0,77,0.168831169910609,1,6,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,3,3,0,0,8,0,8,1,0,1,1,0.833333333333333,0.833333333333333,"qtbase"
"qtbase.examples/ipc/localfortuneclient",0,124,0.112903226521852,1,6,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,5,5,0,0,10,0,10,1,0,1,1,0.666666666666667,0.694444444444444,"qtbase"
"qtbase.examples/ipc/localfortuneserver",0,78,0.0384615396942801,1,6,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,5,5,0,0,10,0,10,1,0,1,1,0.666666666666667,0.694444444444444,"qtbase"
